line,name,colour,stripe,old_colour
1,Bakerloo Line,894e24,NULL,AE6017
3,Circle Line,ffce00,NULL,FFE02B
6,Hammersmith & City Line,d799af,NULL,F491A8
7,Jubilee Line,6a7278,NULL,949699
11,Victoria Line,00a0e2,NULL,0A9CDA
2,Central Line,dc241f,NULL,F15B2E
4,District Line,007229,NULL,00A166
5,East London Line,FBAE34,NULL,FBAE34
8,Metropolitan Line,751056,NULL,91005A
9,Northern Line,000000,NULL,0
10,Piccadilly Line,0019a8,NULL,094FA3
12,Waterloo & City Line,76d0bd,NULL,88D0C4
13,Docklands Light Railway,00afad,FFFFFF,00A77E
