station1,station2,line,time
11,163,1,1
11,211,1,2
49,87,1,1
49,196,1,2
82,163,1,2
82,192,1,3
84,148,1,3
87,278,1,2
113,245,1,2
113,297,1,2
114,140,1,2
137,205,1,3
137,297,1,3
140,236,1,2
143,159,1,2
143,205,1,2
148,278,1,1
159,277,1,1
185,236,1,2
185,280,1,2
191,196,1,2
191,211,1,2
192,277,1,2
245,280,1,3
13,156,2,2
13,249,2,2
16,91,2,2
16,173,2,2
24,156,2,3
24,164,2,2
28,162,2,1
28,191,2,1
37,158,2,3
37,300,2,3
48,126,2,1
48,249,2,2
51,103,2,2
51,214,2,2
68,158,2,2
68,255,2,3
72,285,2,3
76,181,2,2
76,295,2,3
88,255,2,2
91,109,2,2
98,173,2,3
98,210,2,2
103,109,2,3
105,177,2,2
105,195,2,2
112,181,2,3
112,195,2,2
126,258,2,2
127,186,2,2
127,225,2,1
149,162,2,3
149,207,2,1
153,154,2,3
153,246,2,2
154,229,2,2
154,274,2,2
164,246,2,4
177,238,2,3
181,285,2,2
186,207,2,2
191,258,2,2
210,274,2,2
214,300,2,3
220,238,2,1
220,293,2,3
225,295,2,3
229,240,2,2
240,300,2,2
2,156,3,2
2,262,3,4
11,83,3,3
11,104,3,3
14,92,3,1
14,167,3,2
18,186,3,2
18,192,3,2
25,161,3,1
25,254,3,2
44,161,3,1
44,166,3,2
83,192,3,3
87,254,3,2
87,284,3,2
90,104,3,2
90,145,3,2
92,145,3,4
99,122,3,4
99,235,3,1
122,186,3,3
156,167,3,2
166,262,3,2
228,235,3,2
228,272,3,2
247,272,3,2
247,284,3,2
3,262,4,2
3,294,4,2
15,78,4,4
15,268,4,2
17,110,4,1
17,292,4,2
18,186,4,2
18,192,4,2
21,67,4,3
21,268,4,2
25,161,4,1
25,254,4,2
33,36,4,2
33,164,4,1
36,288,4,2
44,161,4,1
44,166,4,2
52,1,4,2
52,264,4,2
66,67,4,4
66,85,4,3
72,73,4,4
73,1,4,2
74,99,4,3
74,122,4,3
74,138,4,2
74,286,4,2
74,292,4,1
78,269,4,2
80,204,4,2
80,230,4,2
83,192,4,3
85,129,4,2
87,254,4,2
87,284,4,2
96,194,4,2
96,286,4,1
99,235,4,1
